# Which OGKM tags actually ship a public NVIDIA .run installer.
#
# WHY THIS EXISTS: sweep_plan.py used to choose driver versions from the 216
# supported OGKM tags alone. Publishing an open-gpu-kernel-modules tag and
# publishing a downloadable driver are DIFFERENT THINGS -- 87 of the 216 tags
# have no .run at either public path. A plan built without this file sends
# boxes to install drivers that cannot be obtained, and every one of them
# burns a rental and returns `driver-install-failed`. Observed 2026-08-30:
# 10 of 24 planned versions (42%) were unobtainable.
#
# Probed by range-requesting one byte of each candidate URL, in this order:
#   https://us.download.nvidia.com/XFree86/Linux-x86_64/$v/NVIDIA-Linux-x86_64-$v.run
#   https://us.download.nvidia.com/tesla/$v/NVIDIA-Linux-x86_64-$v.run
# AVAILABLE means one returned 200/206 and the third column is that URL.
#
# NOTE 403 != ABSENT. A rented box saw HTTP 403 for URLs that return 206 from a
# normal network, i.e. NVIDIA's CDN rate-limits/blocks some hosts. That is what
# --driver-cache is for: fetch here, upload to the box. Do not re-probe from a
# rented box and do not let a 403 rewrite this file.
#
# Regenerate from a trusted network; it changes only when NVIDIA publishes or
# withdraws an installer.
#
# version	status	url
570.86.15	AVAILABLE	https://us.download.nvidia.com/tesla/570.86.15/NVIDIA-Linux-x86_64-570.86.15.run
570.86.16	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/570.86.16/NVIDIA-Linux-x86_64-570.86.16.run
575.51.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/575.51.02/NVIDIA-Linux-x86_64-575.51.02.run
575.51.03	ABSENT	-
575.57.08	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/575.57.08/NVIDIA-Linux-x86_64-575.57.08.run
575.64	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/575.64/NVIDIA-Linux-x86_64-575.64.run
575.64.03	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/575.64.03/NVIDIA-Linux-x86_64-575.64.03.run
575.64.05	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/575.64.05/NVIDIA-Linux-x86_64-575.64.05.run
580.105.08	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.105.08/NVIDIA-Linux-x86_64-580.105.08.run
580.119.02	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.119.02/NVIDIA-Linux-x86_64-580.119.02.run
580.126.09	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.126.09/NVIDIA-Linux-x86_64-580.126.09.run
580.126.16	AVAILABLE	https://us.download.nvidia.com/tesla/580.126.16/NVIDIA-Linux-x86_64-580.126.16.run
580.126.18	AVAILABLE	https://us.download.nvidia.com/XFree86/Linux-x86_64/580.126.18/NVIDIA-Linux-x86_64-580.126.18.run
580.126.20	AVAILABLE	https://us.download.nvidia.com/tesla/580.126.20/NVIDIA-Linux-x86_64-580.126.20.run
